id,name,cat,desc
federation,DRV,crew,Der Deutsche Ruderverband (DRV) ist der größte und einer der erfolgreichsten Ruderverbände der Welt. Der DRV wurde 1883 in Köln gegründet und ist der älteste Verband des deutschen Sports.
backdown,Back down,technique,Term used to describe using a reverse rowing action to manoeuvre the boat backwards or for turning. 
backsplash,The backsplash,technique,This term is in reference to the water thrown back toward the bow direction by the blade as it enters the water. Less is best. This indicates that the blade has been properly planted before the rower initiates the drive.
backstay,The backstay,boat,The back brace of a rigger that locks the pin in position to maintain pitch. (not found on wing rigger boats. 
backstops,Backstops,boat,The end of the slide nearest the bow. Prevents the seat from running off the slide. Also used to describe the position at which the athlete sits with their legs straight and blade to their chest. 
balance,The balance,technique,"Balance is vital to maintain, and good balance is the result of good teamwork. It allows the crew to row comfortably, with regularity, and when the shell isn’t dipping from side to side it glides. Good balance is the result of good posture, of a synchronized stroke with all hands kept at the same height, and the oars exiting the water cleanly and swiftly."
beginning,The beginning,technique,The moment at which the spoon of the blade is immersed in the water and propulsive force applied. Immersion and force application should be indistinguishable actions. Also called the Catch.
blade,The blade,boat,The spoon or hatchet/cleaver shaped end of the oar. Also used to refer to the entire oar.
bodyAngle,The body angle,technique,Amount of forward lean of rower's body from hips at the catch.
bowCrew,The bow,crew,"The rower closest to the front or bow of a multi-person shell. In coxless boats, often the person who keeps an eye on the water behind them to avoid accidents."
bowBoat,The bow,boat,"End of the boat that travels through the water first and is sharpest. 
The first section of the boat to cross the finish line"
bowBall,The bow ball,boat,"A small, soft ball no smaller than 4 cm diameter securely attached to a rowing or sculling boat's bow.
Compulsory on all rowing boats for safety of other water users. Also used in deciding which boat crossed the finish line first in very close races."
bowcoxed,The bowloader / bowcoxed shell,boat,"A bowloader or bow-coxed shell is a racing shell (a type of boat used in rowing) in which the coxswain lies semi-supine in the bow, as opposed to the normal seated position at the stern. Bowloaders are often seen as coxed fours and also coxed pairs."
bowRigged,Bow rigged (UK),boat,The person stroking the boat has their oar on the bowside (starboard or right) rather than the usual strokeside of the boat.
bowSide,The bowside (UK),boat,"The right hand (starboard) side of the boat as the cox sits or the left hand side of the boat for a rower. 
Often marked by a green stripe on the oar. 
Cf : Starboard side (US)"
bucketRigged,Bucket rigged,boat,"A way of rigging a boat so that a pair of rowers both row on the same side of the boat, contrary to rigging on alternate sides. In eights, double and triple buckets are possible (variants also known as German rigged, Italian rigged or tandem-rigged)."
buildup,« Build-up »,orders,"The cry that goes to the core of a rower’s very being and calls on them to find somewhere, somehow all that remains of their energy after 800 meters of effort. It can only be understood by those who have experienced the anguished, desperate search deep within themselves for some last dregs of energy, and lifted themselves with a final burst of strength on the edge of possibility. When you believe that you have given everything you have the cox’s cry signals the last push, and you summon the will to do yet more, to accelerate the pace and pull the blades with greater power, and on top of it all to look good as it’s at the finish line that wait the photographers and a crowd going wild."
bumshoving,Bumshoving,technique,"Driving with the legs before the shoulders, putting the body into a weak postion for the second half of the stroke."
buoy,The buoy,boat,Colored flotation devices that mark lanes and other various areas of the race course. Also used for marking hazards.
burst,To burst,technique,A small number of strokes (usually less than a minute) taken at full pressure in training. 
buryTheBlade,To bury the blade,technique,Submerge the blade totally so that part of the loom is underwater
collar,The button / the collar,boat,A wide plastic ring placed around the sleeve of an oar that is pressed against the swivel when rowing.The button / the collar stops the oar from slipping through the oarlock. It can be moved along the collar to adjust blade gearing.
canvas,The canvas,boat,"The deck of the bow and stern of the boat, which were traditionally covered with canvas."
catch,The catch,technique,See « Beginning ».
catchACrab,To catch a crab,technique,"A rowing error where the rower is unable to timely remove or release the oar blade from the water and the oar blade acts as a brake on the boat until it is removed from the water. This results in slowing the boat down. A severe crab can even eject a rower (colloquially an ""ejector crab"") from the shell or capsize the boat (unlikely except in small boats). Occasionally, in a severe crab, the oar handle will knock the rower flat and end up behind them, in which case it is referred to as an ""over-the-head crab""."
clipboard,The clipboard,boat,Just before the shoeplate / stretcher where the rower step before sitting.
comeForward,« Come forward »,orders,Verbal instruction used by the cox or athlete to bring the crew to frontstops position ready to row. 
connection,The connection,technique,Used to describe the link between the power of an athletes legs to the force applied to the spoon of the blade. Should be made as soon as the catch is taken and held through the trunk muscles for the length of the work section of the stroke. 
countdown,« Count down when ready »,orders,"Before proceeding, the rowers acknowledge that they are all ready by calling out their position number out loud."
cox,The cox / coxwain,crew,Person who steers the boat by means of strings or wires attached to the rudder. Can be positioned in either the stern or bow of the boat. 
coxbox,The coxbox,boat,A microphone and amplifier that the coxswain uses to talk to the crew.
coxless,Coxless,boat,Boat without a cox. 
crossover,The cross over,technique,Crossing the two handles
double,The double,boat,Boat for two scullers.
drive,The drive,technique,"The part of the stroke cycle where the rower applies power to the oar. This consists primarily of the leg drive, then straightening the back, and finally pulling in the arms. Most of the power in the stroke is accomplished during the leg drive."
easyOars,« Easy oars » (UK),orders,"Verbal instruction given by cox or athlete for crew to stop rowing.
Cf: « Ease up » (US)"
eight,The eight,boat,Boat for eight sweep rowers. Will always have a cox.
engineRoom,The engine room,crew,"The middle rowers in the boat. In an 8-person shell, these are generally seats 6, 5, 4 and 3. They are generally the biggest and strongest rowers, who provide most of the power to the boat.
Also called: Power house."
ergo,The ergo,boat,Indoor rowing machine used for training. 
extraction,The extraction,technique,The removal of the blade from the water by application of downward pressure to the blade handle. In sweep this is done with the outside hand on the blade handle. Movement easiest when force is applied to the spoon of the blade until the last moment. 
feather,To feather,technique,"To turn the oar so that its blade is parallel with the water (opposite of square).
This is the position of the blade spoon for the recovery section of the stroke. Rowers must be careful to fully extract the blade before feathering."
featherPosition,« Feather position »,orders,The blade flat on the water
fin,The fin,boat,"A piece of metal or plastic attached to the underside of the boat towards the stern. Provides directional stability by preventing sideways slippage. 
Cf: Skeg"
finish,The finish,technique,"The last part of the stroke where the blade comes out of the water and the legs are straight and the hands have finished pulling the oars into the body. When the blade comes out of the water it is immediately rotated or “feathered” so that it is parallel to the surface of the water.
Following this (assuming clean extraction) the boat will be at its maximum speed. Force must be applied to the spoon right to the finish so that water does not catch up with the spoon. "
firmup,« Firm up »,orders,Command which tells the rowers to apply more pressure as needed.
fixedSeat,Fixed seat,boat,Either a description used to differentiate a boat without a sliding seat mechanism or the athlete rowing arms and or body only and therefore not moving their seat. 
fisa,FISA,crew,The Fédération Internationale des Sociétés d’Aviron is the international rowing federation. The federation is responsible for all international racing and rules. Organises a series of 3 World Cup Regattas and World Championships annually. 
four,The four,boat,Boat for four sweep rowers. Can be coxed or coxless. 
frontstop,Frontstop,boat,"The stop mechanism on the seat slides which prevents the rower's seat from falling off the sliding tracks at the front end (towards the boat's stern) of the slide tracks. Also, in the UK, the sliding seat position closest to the boat's stern. 
Cf : ""front end"" (US)"
frontstopOrder,«Frontstop»,orders,A command which instructs the crew to adopt this position.
gate,The gate (UK),boat,"The rectangular lock at the end of the rigger which physically attaches the oar to the boat. The oarlock also allows the rower to rotate the oar blade between the ""square"" and ""feather""
 position Cf:Swivel (US)"
hammer,The hammer,crew,A rower known more for his powerful pulling rather than technical rowing proficiency
handle,The handle,boat,A thick piece of leather (plastic) around the oar to keep the oar lock from wearing out the wood.
handsaway,The hands away,technique,"At the close of drive phase, the hands move away from the body."
handslevel,The hands level,technique,"Hands height. While practicing sculled rowing, left hand before right hand. Right hand on the left hollow wrist when hands cross"
headrace,The head race,crew,Race in which crews are timed over a set distance. Usually run as a processional race rather than side by side.
toheads,"«To heads, ready, up!»",orders,Tells the rowers to press the boat above their heads.
heelRestraints,The heel restraints,boat,Attached to the heels of the shoes and to the foot plate. Compulsory safety feature that helps the athlete to release their feet from the shoe in the event of a capsize.
holdItUp,«Hold it up» / «Hold it hard» (UK),orders,"Verbal instruction meaning to bring the boat to a stop quickly. Emergency stop, also used after the command way enough. It instructs the rowers to square their blades in the water to stop the boat."
inboard,The inboard,boat,The length of the oar shaft measured from the button (or from the pin) to the handle.
letItRun,«Let it / her run»,orders,"A command to stop rowing, holding the blades out of the water and parallel to the surface so the boat continues to glide."
novice,The novice,crew,"Term used to describe someone who has very little rowing experience. Rowers who are rowing for their first year, or (in the UK) a rower who has not won a qualifying regatta."
oar,The oar,boat,"Lever used to propel a rowing boat: rowers do not use paddles. One end of the pole, called the ""handle,"" is gripped by the rower, the other end has a ""blade,"" which is placed in the water during the propulsive phase of the stroke. Sweep oars are longer than sculling oars."
oarlock,The oarlock (US),boat,"The metal bar, tightened by a screw that closes over the swivel to secure oar. The rectangular lock at the end of the rigger which physically attaches the oar to the boat. The oarlock also allows the rower to rotate the oar blade between the ""square"" and ""feather"" positions."
outboard,The outboard,boat,The part of the oar between the sleeve and the blade. Comprises the majority of the lenght of the oar.
pair,The pair,boat,Boat for two sweep rowers.
pressure,The pressure,technique,"The amount of effort applied by the athlete to the power phase of the stroke. (usually light, 1⁄2, 3⁄4, firm or full)"
port,Port (US),boat,"The left side of the shell when moving forward. Oars on the port side are numbered 2, 4, 6 and 8 (stroke). Cf: Stroke side (UK)"
posture,The posture,technique,Position of back and shoulder muscles during the stroke cycle.
powerPhase,The power phase,technique,The part of the stroke between the beginning and the extraction when the blade is in the water and propelling the boat.
quad,The quad,boat,Boat for four scullers.
rate,The rate,technique,Or rating. Number of strokes rowed in a minute.
ratio,The ratio,technique,"The relationship between the time taken during the propulsive and recovery phases of a stroke. Ideally, time taken for the recovery will be about three times that of the power phase (1/3)."
readyRow,«Are you ready?... Row!»,orders,Begin rowing.
recovery,The recovery,technique,The part of the stroke phase between the extraction and the beginning or catch when the blade is out of the water. Begins with the hands coming away from the body during the finish followed by the rower swinging the upper body back to a slightly forward body angle position. The rower then moves slowly back up the slide towards the catch.
regatta,The regatta,crew,"A competition with events for different boat types and status athletes usually involving heats, semi finals and finals for each event. Boats compete side by side from a standing start."
release,The release,technique,A sharp downward and away (from the body) hand movement which serves to remove the blade from the water to a position horizontally parallel to the water.
repechage,The repechage,crew,"A ""second-chance"" race for those crews that fail to qualify for a final from an opening heat. Repechage qualifiers move on to semifinals or finals, depending on the number of entries in an event."
rhythm,The (good) rhythm,technique,Optimum ratio
rigger,The rigger,boat,Rowing slang name for an «outrigger» Metal outriggers attached to the boat outer shell of the boat next to each seat that support the swivel and the pin. There are currently several different designs of rigger from two or three stay metal or carbon tubing to metal or carbon wings.
rigging,The rigging,boat,"The way in which the riggers, slides, swivel, pins, foot plate, oars and sculls can be adjusted to optimise athlete comfort and efficiency."
riggerJigger,The rigger jigger,boat,A small spanner used for attaching and adjusting riggers.
rollers,The rollers,boat,The wheels upon which the seat travels along its track.
row,To row,technique,To row
rowlock,The rowlock (UK),boat,"Pin-screw across the top of rowlock, secured with a nut, which prevents the oar from coming out of the rowlock. Also historically called «rowing gate». Cf: Oarlock (US)"
rudder,The rudder,boat,"The device under the boat which when moved causes change of direction. Adjacent to the skeg and used by the coxswain (or in some coxless boats, by a rower using a ""toe"" or foot steering mechanism) to steer the boat via attached cables. Extra-large rudders are used on narrower and/or bendier rivers."
run,The run,boat,Distance a shell travels during each stroke.
runningStart,The running start,technique,A racing start undertaken with the boat already moving.
rushing,Rushing,technique,"When rowers move too quickly along their tracks into the catch. The boat will lose the feeling that it is gliding or ""running out."""
saxboard,Saxboard,boat,The sides of the boat above the water line made to strengthen the boat where the riggers attach.
scull,The scull,boat,Smaller version of the oar used for sculling.
sculling,Sculling,technique,Rowing with two oars.
safetyPosition,The safety position,technique,The rowers sit with their legs flat and lean towards the bow of the boat with their body.
seat,The seat,boat,The seat that moves on wheels up and down runners.
setReady,«Set ready»,orders,"Commands the crew to move to the catch; blades burried, ready to start the race."
shaft,The shaft / the loom,boat,The shaft of the oar is the long pice of the oar which connects the blade with the handle.
shellBoat,The shell (US),boat,The boat used for rowing. The boat (UK)
shell,The shell,boat,The smooth hull of the boat. Sometimes made from wood but more commonly now from a synthetic material.
skeg,The skeg,boat,The stationary fin located at the stern section of the boat used to help stabilize the shell in holding a true course. It is not the same as the rudder. Cf: Fin
skying,Skying,technique,"A blade that is too high off the surface of the water during the recovery. The rower's hands are too low causing an upset to the balance of the boat (the ""set"")."
sleeve,The sleeve,boat,The sleeve of the oar wraps around the shaft and is attached about ¾ of the way from the blade to the handle. The shaft has incremental markings which are used when adjusting the oar.
shortStroke,Quarter / half / three-quarter / full slide,technique,"Shortened strokes, often used during the start of a race or in a warm-up."
speedCoach,Speed coach,boat,A device mounted on the keel that determines the boat's speed based on the speed of a small propeller and transmits this information to thecoxbox.
spinTurn,Spin turn,technique,Term used to describe turning the boat on its axis.
splashBoard,Splash board,boat,the V-shaped breakwater used to keep water out of the boat if a wave passes over the deck.
spoon,Spoon,boat,The end of the oar which enters the water. Usually painted in the colours of the club represented by the athlete.
squaring,Square or squaring,technique,To turn the oar so that the spoon is at 90 degrees to the water. This action should be done early during the recovery to ensure good preparation for the catch. (opposite of feather).
onTheSquare,«On the square»,orders,Command to row without feathering the blades on the recovery.
standingStart,The standing start,technique,A racing start done from stationary.
starboard,Starboard (US),boat,"The right side of the shell when moving forward. Oars on the starboard side of a standard-rigged boat are the Bow, 3, 5, 7. For the rowers, starboard oars will be on their left. Cf: Bow side (UK)"
starboardRigged,Starboard rigged (US),boat,A boat where the stroke rower is a starboard rower. Cf: Bow rigged (UK)
start,The start,technique,"In head-to-head races, the start is one of the most important parts of the race. In head races, where boats do not race next to each other, there is a running start, where rowing begins before the starting line and rowers are already at full speed when they cross the start."
startingGate,The starting gate,crew,"A structure at the starting line of the race. The shell is ""backed"" into the starting gate. Once in the gates a mechanism, or a person lying on the starting gate, holds the stern of the shell."
status,The status,crew,Levels of racing determined by the number of times an athlete has won a race. Athletes are awarded points for each race they win. In a crew boat status is determined by the total number of points the crew has. See the ARA Rules of Racing for more details.
stern,The stern,boat,The direction the rowers are facing. The rear section of a shell. The end of the boat that travels through the water last.
strecher,The stretcher,boat,"An adjustable footplate, to which a pair of shoes is typically attached, which allows the rower to easily adjust their physical position relative to the slide and the oarlock. The footplate can be moved (or ""stretched"") either closer to or farther away from the slide frontstops. Also: ""Footplate"", ""Footchock"", ""Footstop"", or ""Stretcher"""
stroke,The stroke,technique,One cycle of the oar.
toStroke,The stroke / to stroke,crew,The rower who sits closest to the stern of the boat in front of all the others and is responsible for the rating and rhythm of the boat. (other crew members can influence rating and rhythm from behind).
strokeSide,Strokeside (UK),boat,The port or left side of the boat (even if the boat is bow rigged). Derives from the tradition of having the stroke rower's oar on the port or left side of the boat. Often marked by a red stripe on the oar. Cf: Portside (US)
sweep,Sweep rowing,technique,Rowing with one oar on one side of the boat.
swing,The swing,technique,Occurs when the entire crew is moving perfectly in unison and the shell seems to be moving very fast without much effort.
swivel,The swivel,boat,The U shaped plastic rotating piece mounted on the pin in which the oar sits whilst rowing.
tapTurn,Tap turn,technique,Term used to describe a method of turning the boat where each rower uses a forwards or backwards rowing action with there arms only.
tracks,The tracks,boat,"The set of metal runners set inside the shell, to accept the wheels on the bottom of each rowers seat (slide). Also called: Slide"
trestles,The trestles (or slings),boat,"Portable stands used to support a boat for rigging, washing, admiring etc."
wash,The wash,technique,"The wake from a motorized boat, disliked by rowers as the wash affects the boat stability and can cause water to flood over the gunwales."
dysr,,web,Sprechen sie rudern ?
lexicon,,web,Rudern lexikon
translate,,web,Übersetzung
description,,web,"Alles, was Sie schon immer über Ruderbegriffe wissen wollten, in allen Sprachen, die Sie brauchen!"
showme,,web,Los geht's
crew,,web,Manschaft
technique,,web,Technik
equipment,,web,Ausrüstung
orders,,web,Befehlen
category,,web,Kategorie
none,,web,keiner
gitlink,,web,Willst du beitragen? Es is alles auf github!
contact,,web,Kontakt
